season,round,lapNumber,driverId,position,time,lap_time_sec,pit_or_following,slow_outlier,missing_time,stint,tire_age,grid_position
2019,10,1,bottas,1,1:34.461,94.461,False,False,False,0,0,1
2019,10,2,bottas,1,1:31.644,91.644,False,False,False,0,1,1
2019,10,3,bottas,1,1:31.985,91.985,False,False,False,0,2,1
2019,10,4,bottas,1,1:31.603,91.60300000000001,False,False,False,0,3,1
2019,10,5,bottas,1,1:31.013,91.013,False,False,False,0,4,1
2019,10,6,bottas,1,1:31.437,91.437,False,False,False,0,5,1
2019,10,7,bottas,1,1:30.938,90.938,False,False,False,0,6,1
2019,10,8,bottas,1,1:30.891,90.89099999999999,False,False,False,0,7,1
2019,10,9,bottas,1,1:31.410,91.41,False,False,False,0,8,1
2019,10,10,bottas,1,1:30.725,90.725,False,False,False,0,9,1
2019,10,11,bottas,1,1:30.901,90.901,False,False,False,0,10,1
2019,10,12,bottas,1,1:30.872,90.872,False,False,False,0,11,1
2019,10,13,bottas,1,1:30.741,90.741,False,False,False,0,12,1
2019,10,14,bottas,1,1:30.866,90.866,False,False,False,0,13,1
2019,10,15,bottas,1,1:30.631,90.631,False,False,False,0,14,1
2019,10,18,bottas,3,1:30.344,90.344,False,False,False,1,1,1
2019,10,19,bottas,3,1:30.624,90.624,False,False,False,1,2,1
2019,10,24,bottas,2,1:30.318,90.318,False,False,False,1,7,1
2019,10,25,bottas,2,1:30.071,90.071,False,False,False,1,8,1
2019,10,26,bottas,2,1:29.958,89.958,False,False,False,1,9,1
2019,10,27,bottas,2,1:29.849,89.849,False,False,False,1,10,1
2019,10,28,bottas,2,1:29.649,89.649,False,False,False,1,11,1
2019,10,29,bottas,2,1:29.420,89.42,False,False,False,1,12,1
2019,10,30,bottas,2,1:29.536,89.536,False,False,False,1,13,1
2019,10,31,bottas,2,1:29.727,89.727,False,False,False,1,14,1
2019,10,32,bottas,2,1:29.701,89.701,False,False,False,1,15,1
2019,10,33,bottas,2,1:29.333,89.333,False,False,False,1,16,1
2019,10,34,bottas,2,1:29.219,89.219,False,False,False,1,17,1
2019,10,35,bottas,2,1:29.192,89.19200000000001,False,False,False,1,18,1
2019,10,36,bottas,2,1:29.127,89.127,False,False,False,1,19,1
2019,10,37,bottas,2,1:29.473,89.473,False,False,False,1,20,1
2019,10,38,bottas,2,1:29.287,89.287,False,False,False,1,21,1
2019,10,39,bottas,2,1:29.401,89.401,False,False,False,1,22,1
2019,10,40,bottas,2,1:28.971,88.971,False,False,False,1,23,1
2019,10,41,bottas,2,1:28.936,88.936,False,False,False,1,24,1
2019,10,42,bottas,2,1:28.784,88.78399999999999,False,False,False,1,25,1
2019,10,43,bottas,2,1:29.001,89.001,False,False,False,1,26,1
2019,10,44,bottas,2,1:29.016,89.01599999999999,False,False,False,1,27,1
2019,10,47,bottas,2,1:27.406,87.406,False,False,False,2,1,1
2019,10,48,bottas,2,1:28.680,88.68,False,False,False,2,2,1
2019,10,49,bottas,2,1:28.399,88.399,False,False,False,2,3,1
2019,10,50,bottas,2,1:29.243,89.243,False,False,False,2,4,1
2019,10,51,bottas,2,1:29.796,89.79599999999999,False,False,False,2,5,1
2019,10,52,bottas,2,1:30.849,90.849,False,False,False,2,6,1
2019,10,2,gasly,6,1:32.305,92.305,False,False,False,0,1,5
2019,10,3,gasly,6,1:31.847,91.84700000000001,False,False,False,0,2,5
2019,10,4,gasly,6,1:31.656,91.656,False,False,False,0,3,5
2019,10,5,gasly,6,1:31.844,91.844,False,False,False,0,4,5
2019,10,6,gasly,6,1:31.709,91.709,False,False,False,0,5,5
2019,10,7,gasly,6,1:31.625,91.625,False,False,False,0,6,5
2019,10,8,gasly,6,1:31.540,91.53999999999999,False,False,False,0,7,5
2019,10,9,gasly,6,1:31.410,91.41,False,False,False,0,8,5
2019,10,10,gasly,6,1:31.593,91.593,False,False,False,0,9,5
2019,10,11,gasly,6,1:32.182,92.182,False,False,False,0,10,5
2019,10,14,gasly,7,1:32.588,92.588,False,False,False,1,1,5
2019,10,15,gasly,7,1:32.166,92.166,False,False,False,1,2,5
2019,10,16,gasly,7,1:31.948,91.94800000000001,False,False,False,1,3,5
2019,10,17,gasly,7,1:32.368,92.368,False,False,False,1,4,5
2019,10,18,gasly,7,1:31.740,91.74,False,False,False,1,5,5
2019,10,19,gasly,7,1:31.605,91.605,False,False,False,1,6,5
2019,10,24,gasly,4,1:33.192,93.19200000000001,False,False,False,1,11,5
2019,10,25,gasly,4,1:31.381,91.381,False,False,False,1,12,5
2019,10,26,gasly,4,1:30.844,90.844,False,False,False,1,13,5
2019,10,27,gasly,5,1:31.765,91.765,False,False,False,1,14,5
2019,10,28,gasly,5,1:30.482,90.482,False,False,False,1,15,5
2019,10,29,gasly,5,1:30.617,90.617,False,False,False,1,16,5
2019,10,30,gasly,5,1:30.188,90.188,False,False,False,1,17,5
2019,10,31,gasly,5,1:30.201,90.201,False,False,False,1,18,5
2019,10,32,gasly,5,1:30.024,90.024,False,False,False,1,19,5
2019,10,33,gasly,5,1:29.941,89.941,False,False,False,1,20,5
2019,10,34,gasly,5,1:29.837,89.837,False,False,False,1,21,5
2019,10,35,gasly,5,1:29.743,89.743,False,False,False,1,22,5
2019,10,36,gasly,6,1:31.010,91.01,False,False,False,1,23,5
2019,10,37,gasly,4,1:30.622,90.622,False,False,False,1,24,5
2019,10,38,gasly,4,1:30.495,90.495,False,False,False,1,25,5
2019,10,39,gasly,4,1:30.147,90.14699999999999,False,False,False,1,26,5
2019,10,40,gasly,4,1:29.905,89.905,False,False,False,1,27,5
